Date,Open,High,Low,Close,Market Cap,Total Volume
2024-08-19 05:30:00,58438.293742685404,58438.293742685404,58438.293742685404,58438.293742685404,1156217205294.1643,17656027563.72502
2024-08-20 05:30:00,59574.945812940874,59574.945812940874,59574.945812940874,59574.945812940874,1176063402361.815,24031330179.258953
2024-08-21 05:30:00,59060.12610074137,59060.12610074137,59060.12610074137,59060.12610074137,1166088863323.0896,31470716090.619144
2024-08-22 05:30:00,61144.68762866613,61144.68762866613,61144.68762866613,61144.68762866613,1207099049402.5117,32960965010.60808
2024-08-23 05:30:00,60387.54062321362,60387.54062321362,60387.54062321362,60387.54062321362,1192308382713.8381,28170302505.847404
2024-08-24 05:30:00,64049.68561555576,64049.68561555576,64049.68561555576,64049.68561555576,1261916434075.0183,45038665759.42134
2024-08-25 05:30:00,64157.1606134782,64157.1606134782,64157.1606134782,64157.1606134782,1264961887998.9824,22029153446.354362
2024-08-26 05:30:00,64265.81631272862,64265.81631272862,64265.81631272862,64265.81631272862,1269291077270.1143,17875230147.044323
2024-08-27 05:30:00,62922.58634676265,62922.58634676265,62922.58634676265,62922.58634676265,1242487823611.2612,17894692681.091812
2024-08-28 05:30:00,59526.560879590994,59526.560879590994,59526.560879590994,59526.560879590994,1176762244308.0742,38131727427.91789
2024-08-29 05:30:00,59015.29633887944,59015.29633887944,59015.29633887944,59015.29633887944,1166032395735.947,42018989572.42786
2024-08-30 05:30:00,59351.5794909728,59351.5794909728,59351.5794909728,59351.5794909728,1171762256043.917,32563333956.986053
2024-08-31 05:30:00,59156.246036463555,59156.246036463555,59156.246036463555,59156.246036463555,1168247205700.9673,44038496614.947586
2024-09-01 05:30:00,58960.23658664587,58960.23658664587,58960.23658664587,58960.23658664587,1164278309271.2642,11399086336.303324
2024-09-02 05:30:00,57357.71617282246,57357.71617282246,57357.71617282246,57357.71617282246,1133133027660.6194,25465621877.97047
2024-09-03 05:30:00,59108.73235863689,59108.73235863689,59108.73235863689,59108.73235863689,1168410293915.9832,28012782290.96625
2024-09-04 05:30:00,57504.538586220435,57504.538586220435,57504.538586220435,57504.538586220435,1137361604370.578,26829983370.35861
2024-09-05 05:30:00,57987.84601410068,57987.84601410068,57987.84601410068,57987.84601410068,1144983177152.221,37550380696.7459
2024-09-06 05:30:00,56132.404732088595,56132.404732088595,56132.404732088595,56132.404732088595,1109212553022.4158,30005773445.693718
2024-09-07 05:30:00,53923.35611071905,53923.35611071905,53923.35611071905,53923.35611071905,1065462041080.5197,50260816556.81667
2024-09-08 05:30:00,54150.9383589072,54150.9383589072,54150.9383589072,54150.9383589072,1068954727890.2039,17048448412.007126
2024-09-09 05:30:00,54792.40755768575,54792.40755768575,54792.40755768575,54792.40755768575,1085390277573.522,18644823662.23431
2024-09-10 05:30:00,57049.118751143265,57049.118751143265,57049.118751143265,57049.118751143265,1126840069631.8132,35655419448.07046
2024-09-11 05:30:00,57624.16178336144,57624.16178336144,57624.16178336144,57624.16178336144,1137928777838.5286,29676093302.30697
2024-09-12 05:30:00,57381.764445000474,57381.764445000474,57381.764445000474,57381.764445000474,1134292554478.847,37765652735.2964
2024-09-13 05:30:00,58106.951229815284,58106.951229815284,58106.951229815284,58106.951229815284,1148469900814.253,34177859933.02337
